CLIENT,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
944,1,43,149,1,,,,,,764.6896429,,,,,,0.000357143,0.000357143,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.77892857,0,0
1571,1,39,211,1,,,,,,23635.8,,,,,,0.000357143,0.000357143,1,1,2.678571429,2.678571429,0,0,0,2,2,0,0,0,1,1,0,3.45375,4.571428571,0
867,0,36,62,1,,,1,,,1097.734286,,,0,,,0.000714286,0.000714286,1,1,224.0060714,224.0060714,0,93.86321429,126.75,5,5,0,2,2,0,1,0,0,3.392857143,0
1547,1,48,39,1,,,,,,151.2867857,,,,,,0.000714286,0.000714286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,1,43,3,1,,,,,,4380.475714,,,,,,0.000714286,0.000714286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,0,44,24,1,,,,,,28.57142857,,,,,,0.000714286,0.000714286,1,1,305.575,305.575,57.14285714,211.2892857,35.71428571,9,9,3,4,1,1,1,0,51.96553571,3.928571429,0
1500,0,33,15,1,,,1,,,90.45321429,,,0,,,0.000714286,0.000714286,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,21.025,2.352857143,6.571428571
40,1,27,33,1,,,,,,871.7367857,,,,,,0.001071429,0.001071429,1,1,18.03571429,18.03571429,0,0,18.03571429,1,1,0,0,1,0,0,0,0,0,0
370,1,77,1,1,,,,,,368.9910714,,,,,,0.001071429,0.001071429,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1197,0,62,36,1,,,,,,320.05,,,,,,0.001071429,0.001071429,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0
973,0,39,105,1,,,,,,1633.828214,,,,,,0.001071429,0.001071429,1,1,23.14285714,23.14285714,0,23.14285714,0,1,1,0,1,0,1,0,0,0.686428571,0,0
1338,1,42,61,1,,,,,,150.8196429,,,,,,0.001071429,0.001071429,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19.46107143,0,0
489,1,67,151,1,1,,,,,5021.998214,12591.48571,,,,,0.001428571,0.000357143,2,1,85.10714286,85.10714286,60.71428571,24.39285714,0,5,5,3,2,0,0,0,0,0,0,0
918,1,37,44,1,,,,,,1054.802143,,,,,,0.001428571,0.001428571,1,1,40.75,40.75,0,0,38.57142857,2,2,0,0,1,0,0,0,0,0,0
497,1,42,181,1,,,,,,930.3110714,,,,,,0.001785714,0.001785714,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.535714286,0
564,1,58,32,1,,,,,,1391.6125,,,,,,0.001785714,0.001785714,1,1,136.6428571,136.6428571,0,0,134.25,3,3,0,0,2,0,1,0,0,28.705,0
1020,1,21,150,1,,,,,,240.9632143,,,,,,0.001785714,0.001785714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,1,38,165,1,,,,,,6752.244643,,,,,,0.002142857,0.002142857,1,1,714.2857143,714.2857143,0,0,714.2857143,1,1,0,0,1,0,0,0,0,0,0
773,0,68,42,1,,,,,,1693.176429,,,,,,0.0025,0.0025,1,1,934.3582143,934.3582143,285.7142857,643.1071429,0,9,9,2,4,0,0,0,0,0,0,0
812,1,29,175,1,,,,,,6302.067857,,,,,,0.002857143,0.002857143,1,1,2.5,2.5,0,0,0,2,2,0,0,0,0,0,0,0,0,0
399,1,59,152,1,,,,,,451.7967857,,,,,,0.003214286,0.003214286,1,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,1,0,0,0.0875,0,0
279,1,22,135,3,,,1,,,937.21,,,0,,,0.003571429,0.003571429,1,1,199.9285714,199.9285714,0,0,0,3,3,0,0,0,0,0,1,0,0,4.214285714
881,1,72,179,2,,,,,,3024.145357,,,,,,0.003571429,0.003571429,1,1,107.6071429,107.6071429,107.1428571,0,0,2,2,1,0,0,0,0,1,0,0,6.664642857
1411,1,32,40,1,,1,,,,2223.128571,,11342.54571,,,,0.003928571,0.003928571,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.799642857,0,0
1361,0,64,10,1,,,,,,2869.156071,,,,,,0.004285714,0.004285714,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
630,1,22,178,1,,,,,,389.45,,,,,,0.004642857,0.004642857,1,1,691.6428571,691.6428571,232.1428571,76.14285714,372.6428571,15,15,2,10,2,0,0,1,0,0,16.925
1017,1,57,145,1,,,,,,903.6382143,,,,,,0.005,0.005,1,1,118.0464286,118.0464286,25,91.79642857,0,12,12,2,9,0,0,0,0,0,0,0
582,1,57,65,1,,,,,,445.6714286,,,,,,0.005357143,0.005357143,1,1,0.005,0.005,0,0,0.005,1,1,0,0,1,0,0,1,0,0,9.589285714
1038,1,29,106,1,,,,,,27.03571429,,,,,,0.006071429,0.006071429,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1,28,114,1,,,,,,86.42857143,,,,,,0.007142857,0.007142857,1,1,0.893928571,0.893928571,0,0,0,1,1,0,0,0,0,0,0,0,0,0
549,1,30,58,1,,,,,,192.7760714,,,,,,0.007142857,0.007142857,1,1,445.25,445.25,428.5714286,12.42857143,0,15,15,9,1,0,0,0,0,0,0,0
746,1,46,163,1,,1,,,,16436.32714,,49030.41071,,,,0.007142857,0.007142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,1,12,150,1,,,,,,359.0332143,,,,,,0.007142857,0.007142857,1,1,8.926785714,8.926785714,0,0,0,2,2,0,0,0,0,0,1,0,0,4.166785714
1574,0,30,149,1,,,,,,478.5435714,,,,,,0.007142857,0.007142857,1,1,0.893928571,0.893928571,0,0,0,1,1,0,0,0,0,0,1,0,0,3.943571429
225,1,14,187,1,,,1,,,345.6860714,,,618.3975,,,0.0075,0.0075,1,1,130.5214286,130.5214286,0,111.2357143,19.28571429,5,5,0,4,1,0,0,1,0,0,8.130714286
904,0,23,152,1,,,,,,3758.344286,,,,,,0.007857143,0.007857143,1,1,654.5985714,654.5985714,235.7142857,302.9557143,113.75,14,14,1,9,3,0,0,1,0,0,8.321428571
184,0,30,115,1,,,,,,160.9032143,,,,,,0.009642857,0.009642857,1,1,131.8742857,131.8742857,0,129.3432143,0,4,4,0,2,0,0,1,0,0,5.785714286,0
982,0,86,88,1,,,,,,1813.520714,,,,,,0.009642857,0.009642857,1,1,1805.046429,1805.046429,1071.428571,30.26071429,569.1785714,18,18,1,3,11,0,1,0,0,6.785714286,0
1275,0,66,84,1,,,,,,39.79178571,,,,,,0.009642857,0.009642857,1,1,2.531071429,2.531071429,0,0,0,2,2,0,0,0,1,0,0,0.969821429,0,0
103,0,80,199,1,,,,,,42.99071429,,,,,,0.010357143,0.000714286,2,1,6.438214286,6.428571429,0,0,0,2,1,0,0,0,0,1,0,0,12.25642857,0
1094,1,25,8,1,,,,,,89.0225,,,,,,0.011785714,0.011785714,1,1,1366.313929,1366.313929,53.57142857,351.9503571,891.3278571,31,31,1,21,4,0,1,0,0,5.138571429,0
300,0,5,87,1,,,,,,0,,,,,,0.012857143,0.012857143,1,1,84.85714286,84.85714286,0,0,84.64285714,2,2,0,0,1,0,0,1,0,0,12.03571429
107,0,26,181,1,,,,,,23.33071429,,,,,,0.013214286,0.013214286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0,29,26,1,,,1,,,5577.357143,,,0,,,0.013928571,0.013928571,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,1,0,0,110.47,0
1268,0,23,179,1,,,,,,491.3907143,,,,,,0.015,0.015,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,1,0,0,20.34357143
1397,1,18,81,1,,,,,,2.623214286,,,,,,0.015,0.015,1,1,276.6582143,276.6582143,250,0,23.26535714,5,5,2,0,2,0,0,0,0,0,0
1231,0,6,232,1,,,,,,819.8539286,,,,,,0.015714286,0.015714286,2,2,2257,2257,2250,0,0,9,9,6,0,0,0,0,1,0,0,24.43464286
242,0,45,146,1,,,,,,708.8621429,,,,,,0.016428571,0.016428571,1,1,205.7857143,205.7857143,0,0,173.6071429,3,3,0,0,1,0,0,0,0,0,0
452,0,74,0,2,,,,,,4474.592143,,,,,,0.018928571,0.018928571,1,1,62.89285714,62.89285714,0,0,58.07142857,2,2,0,0,1,0,1,0,0,1.964285714,0
922,0,26,209,1,,,,,,1963.801429,,,,,,0.018928571,0.018928571,1,1,4.289285714,4.289285714,0,1.789285714,0,3,3,0,1,0,0,0,1,0,0,4.214285714
173,1,23,150,1,,,,,,3913.798214,,,,,,0.021071429,0.021071429,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1056,0,10,159,1,,,,,,283.605,,,,,,0.021785714,0.021785714,1,1,0.893928571,0.893928571,0,0,0,1,1,0,0,0,1,0,1,10.52714286,0,12
800,1,35,75,1,,1,1,,,660.9817857,,0,0,,,0.023214286,0.023214286,1,1,1613.927143,1613.927143,1142.857143,393.1057143,74.42857143,16,16,2,7,3,0,0,0,0,0,0
351,0,42,172,1,1,,,,,4783.925357,5770.629286,,,,,0.029642857,0.029642857,2,2,92.32142857,92.32142857,0,0,0,3,3,0,0,0,0,1,0,0,3.607142857,0
1246,0,42,180,1,,,,,,12519.4,,,,,,0.033571429,0.033571429,1,1,500.8878571,500.8878571,440.4785714,19.08214286,35.71428571,10,10,3,2,1,0,1,1,0,4.464285714,4.785714286
1454,0,47,83,1,,,,,,0,,,,,,0.036071429,0.036071429,1,1,73.67857143,73.67857143,0,0,72.14285714,4,4,0,0,3,0,0,0,0,0,0
35,1,66,31,1,,,1,,,14.86321429,,,0,,,0.039642857,0.039642857,1,1,698.2428571,698.2428571,107.1428571,290.4928571,245.7857143,21,21,6,9,4,0,0,0,0,0,0
1428,0,50,151,1,,,,,,8894.718214,,,,,,0.05,0.014285714,6,1,0.929642857,0.893928571,0,0,0,6,1,0,0,0,0,0,0,0,0,0
1545,1,60,159,1,1,,,,,8478.090357,281.9692857,,,,,0.051785714,0.0075,8,1,14.29821429,14.28571429,0,0,0,6,1,0,0,0,0,1,0,0,21.20714286,0
1196,1,20,183,1,,,,,,3405.242857,,,,,,0.052142857,0.052142857,1,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,0,0,1,0,0,17.6625
486,1,43,195,2,,,,,,1815.522857,,,,,,0.065357143,0.065357143,1,1,5.535714286,5.535714286,0,0,0,1,1,0,0,0,0,0,0,0,0,0
658,0,51,32,1,,,,,,1107.677857,,,,,,0.0725,0.071071429,5,1,1128.251429,1128.25,0,0,53.57142857,7,3,0,0,1,0,1,1,0,0.214285714,6.233928571
81,1,86,19,1,,,,,,5860.190714,,,,,,0.073214286,0.073214286,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0
445,1,21,15,1,,2,,,,2.563928571,,0,,,,0.157142857,0.157142857,1,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,1,0,0,1.368392857,0,0
932,0,22,126,1,1,7,,,,3060.946071,7537.403214,2116.071429,,,,0.186785714,0.010714286,2,1,124.3882143,124.3882143,0,0,121.8525,6,6,0,0,4,0,0,0,0,0,0
44,0,35,51,1,,,,,,186.8460714,,,,,,0.196428571,0.196428571,1,1,362.6428571,362.6428571,0,0,0,3,3,0,0,0,0,1,0,0,4.464285714,0
908,1,43,179,1,,,,,,54172.86929,,,,,,0.201785714,0.201785714,1,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,1,0,0,26.99821429,0
644,1,56,20,1,1,,,,,135.3635714,0.17,,,,,0.265,0.001071429,2,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,1,1,0,9.138928571,4.286785714,0
613,0,5,96,1,,,1,1,,30.4675,,,218.2342857,276.15,,0.719642857,0.005357143,2,1,1.428571429,0,0,0,0,2,0,0,0,0,0,1,0,0,0.892857143,0
808,1,48,85,1,1,18,,,,608.5792857,55.53035714,0,,,,0.871785714,0.040357143,2,1,10982.14286,10982.14286,0,0,0,4,4,0,0,0,0,0,1,0,0,7.428571429
1348,1,39,16,1,1,3,,,,5316.222857,3786.695,308.8821429,,,,1.372142857,0.001785714,2,1,357.1428571,357.1428571,0,0,357.1428571,2,2,0,0,2,0,1,0,0,1.428571429,0
930,0,26,117,1,2,,,,,849.1971429,4113.770357,,,,,1.6575,0.029285714,2,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
898,0,19,89,1,1,2,,,,2741.898929,1750.5525,563.3707143,,,,2.152857143,0.003928571,2,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,1,0,0,11.53571429,0
349,1,72,32,2,2,,,,,247.4267857,0.091785714,,,,,2.408214286,0.0225,2,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,1,0,0,65.70410714,0,0
1033,1,23,188,1,1,3,,,,193.5725,10743.74143,0,,,,2.576785714,0.008928571,4,1,1.3225,0.892857143,0,0,0,2,1,0,0,0,1,0,1,1.129107143,0,2.7025
1408,0,23,122,1,1,1,,,,31792.10071,12620.79,0,,,,2.594285714,0.003928571,2,1,1.964285714,1.964285714,0,0,0,1,1,0,0,0,1,1,0,1.663571429,5.357142857,0
451,1,62,152,1,,7,,1,,6.699285714,,538.1303571,,13.07142857,,3.568214286,0.007142857,5,1,250.8810714,248.5239286,0,0,243.0357143,12,8,0,0,6,0,0,1,0,0,3.261071429
1427,0,4,179,1,1,,,,,6.552142857,19861.2,,,,,4.249642857,0.000357143,2,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,0,0,1,0,0,10.35714286
1371,1,51,109,1,,,,,,758.8221429,,,,,,4.652142857,0,6,0,5.473571429,0.000357143,0,0,0,6,1,0,0,0,0,0,0,0,0,0
642,0,87,196,1,1,4,,,,2238.091786,9665.433571,194.2857143,,,,5.112857143,4.674642857,3,2,6576.507143,6576.507143,6428.571429,147.9357143,0,15,15,9,6,0,0,0,1,0,0,14.55821429
45,1,63,52,1,1,,,,,0,38757.89464,,,,,5.913928571,0.008571429,2,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,1,1,0,15.39392857,5.556785714
1413,1,31,52,1,1,,,,,237.2960714,56187.43393,,,,,6.433214286,0.004642857,2,1,143.1689286,143.1689286,0,122.9189286,20.25,15,15,0,14,1,1,1,0,1.676607143,6.964285714,0
398,0,56,30,2,1,,,,,3692.966786,23.59928571,,,,,6.915357143,0.005714286,2,1,23.67857143,23.67857143,0,0,20.78571429,3,3,0,0,1,1,0,0,0.970178571,0,0
533,0,63,27,1,,,,,,50,,,,,,7.143928571,7.143928571,2,2,8.642857143,8.642857143,3.571428571,4.607142857,0,3,3,1,1,0,1,0,0,0.447321429,0,0
360,1,46,86,4,1,,,,,5871.232143,18085.48821,,,,,7.297857143,0.002857143,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.19821429
621,0,37,152,1,1,,,,,1249.709643,0.001428571,,,,,7.397857143,0.0025,3,1,0.288928571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1236,1,24,151,1,1,,,,,2278.614643,0,,,,,7.895714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,0,46,102,1,2,,,,,956.6560714,10861.7475,,,,,8.132142857,0.071428571,4,2,1.638214286,1.638214286,0,0,0,1,1,0,0,0,0,0,1,0,0,13.03392857
880,0,49,64,1,,,,,,70.54857143,,,,,,8.143214286,8.143214286,2,2,42.42857143,42.42857143,17.85714286,24.57142857,0,9,9,2,7,0,1,0,0,1.249464286,0,0
678,0,16,57,1,1,3,,,,2730.121429,0,761235.5043,,,,8.304285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.15464286
178,1,20,46,1,1,,,,,86.61035714,0.110357143,,,,,9.494285714,0.065357143,2,1,1414.714286,1414.714286,0,0,1414.714286,4,4,0,0,4,1,0,0,1.581428571,0,0
1386,0,52,8,1,1,,,,,74.68214286,27918.04536,,,,,9.748214286,0.026071429,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,0,41,0,1,3,1,,,,5239.471071,255.2389286,113.2167857,,,,10.46964286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,0,64,2,1,1,,,,,7.6275,18634.06,,,,,10.91107143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,0,32,77,2,,,,,,651.4214286,,,,,,11.25035714,11.25035714,2,2,14.64285714,14.64285714,0,0,11.25,2,2,0,0,1,0,1,0,0,0.214285714,0
1003,0,16,39,1,,,,,,3465.537143,,,,,,14.28714286,14.28714286,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,1,44,3,1,,1,,,,2102.500357,,7975.683571,,,,14.30035714,14.30035714,2,2,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1436,1,24,123,1,1,6,,,,1453.905357,2331.711071,4075,,,,14.31285714,14.28928571,3,2,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,1,1,0,6.285714286,2.107142857
47,1,45,229,1,1,5,,,,622.2275,1537.054286,0,,,,15.82357143,0.100357143,2,1,1060.306071,1060.306071,0,6.073928571,1053.375,22,22,0,2,19,0,0,1,0,0,4.496071429
510,0,50,188,1,1,,,,,1181.878571,5443.611071,,,,,16.685,0.000357143,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,35.51571429,0,0
1302,1,66,69,1,1,,,,,35.83464286,1888.0625,,,,,16.9525,0.011785714,3,1,1470.810357,1113.6675,0,238.6703571,822.1071429,9,8,0,4,2,1,1,0,10.12642857,0.428571429,0
653,1,39,100,1,1,,,,,43.14428571,6007.7925,,,,,17.55535714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,1,43,142,1,,,,,,3388.041786,,,,,,17.8575,17.8575,2,2,6.428571429,6.428571429,0,5.964285714,0,2,2,0,1,0,0,1,0,0,5.785714286,0
397,1,12,57,1,,,,,,565.1235714,,,,,,18.21464286,18.21464286,2,2,39.71428571,39.71428571,17.85714286,10.71428571,11.14285714,3,3,1,1,1,0,0,0,0,0,0
568,0,42,151,1,,,,1,,809.9760714,,,,325.6457143,,18.29928571,0.001071429,4,1,5.928571429,3.571428571,0,0,0,6,2,0,0,0,0,1,0,0,5.356071429,0
478,1,41,11,1,,,1,,,33573.15179,,,0,,,20.075,20.075,3,3,247.5,247.5,0,0,247.5,5,5,0,0,5,0,1,0,0,4.5,0
192,0,61,57,1,2,4,,,,5.295357143,12783.565,367.8571429,,,,20.7,0.023928571,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.857142857
1372,1,10,176,1,1,,,,,224.7582143,549.0392857,,,,,21.73178571,0.002857143,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.46428571
131,1,47,92,1,,,,,,898.485,,,,,,23.21428571,23.21428571,1,1,24.32142857,24.32142857,0,0,22.14285714,3,3,0,0,2,1,1,0,3.138928571,4.642857143,0
714,1,52,181,1,1,,,,,224.4425,5495.861071,,,,,23.68464286,0.020714286,4,2,111.1417857,111.1417857,0,0,107.2139286,6,6,0,0,4,0,1,0,0,0.214285714,0
80,1,9,81,1,,,,,,2756.826786,,,,,,25.00035714,25.00035714,2,2,18.62142857,18.62142857,0,18.62142857,0,6,6,0,6,0,0,0,0,0,0,0
1292,0,47,151,1,,,,,,244.8164286,,,,,,25.01964286,25.01964286,2,2,2178.353571,2178.353571,14.28571429,20.13928571,2142.857143,6,6,2,2,1,1,0,1,1.0275,0,17.67678571
560,1,58,25,1,,,,,,6586.222857,,,,,,26.78607143,26.78607143,2,2,42.67857143,42.67857143,35.71428571,6.964285714,0,5,5,4,1,0,0,0,0,0,0,0
322,0,1,92,1,1,,,,,2175.27,128617.5911,,,,,28.5725,28.5725,2,2,919.8214286,919.8214286,0,0,0,2,2,0,0,0,0,1,0,0,1.785714286,0
123,0,22,40,2,,,,,,8883.968214,,,,,,30.38178571,30.38178571,2,2,35.89285714,35.89285714,0,33.92857143,0,2,2,0,1,0,0,0,1,0,0,10.46107143
472,1,58,51,1,,,,,,12095.03107,,,,,,32.14321429,32.14321429,2,2,21.42857143,21.42857143,21.42857143,0,0,2,2,2,0,0,0,0,0,0,0,0
127,0,25,150,1,,,1,,,2893.112857,,,676.7528571,,,32.15,32.15,3,3,52.14285714,52.14285714,0,0,52.14285714,4,4,0,0,4,1,1,1,19.35464286,0.071428571,14.07142857
1406,0,21,181,1,,,,,,55383.79786,,,,,,35.71428571,35.71428571,1,1,35.71428571,35.71428571,0,0,35.71428571,1,1,0,0,1,0,1,0,0,3.431428571,0
1052,1,34,150,1,,,,,,1.278571429,,,,,,35.71428571,35.71428571,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.541428571,4.286785714,0
947,1,34,86,1,,,,,,1313.165714,,,,,,35.71464286,35.71464286,2,2,35.74285714,35.74285714,7.142857143,27.35,0,6,6,1,4,0,0,0,1,0,0,16.33892857
1100,0,69,92,1,,,,,,11.17821429,,,,,,35.71464286,35.71464286,2,2,103.5714286,103.5714286,35.71428571,44.32142857,23.53571429,6,6,1,2,3,0,0,0,0,0,0
366,1,21,75,1,,,1,,,564.0332143,,,0,,,37.32178571,0.000357143,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,1,40,39,1,,,,,,252.7957143,,,,,,42.865,42.865,3,3,73.81071429,73.81071429,60.71428571,0,10.70357143,3,3,1,0,1,1,0,0,4.657142857,0,0
624,1,44,190,1,1,,,,,272.1257143,12752.7275,,,,,46.52142857,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,26,174,1,,,,,,1.545357143,,,,,,47.4375,47.4375,2,2,20.80357143,20.80357143,0,17.41071429,0,2,2,0,1,0,0,0,0,0,0,0
52,0,43,53,1,,,,1,,960.5725,,,,0.464285714,,49.79964286,0,4,0,36.60321429,1.964285714,17.85714286,0,0,8,1,1,0,0,0,0,0,0,0,0
79,0,41,75,1,2,1,,,,340.195,901.5539286,4771.731071,,,,50.34857143,0.000357143,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,1,38,21,1,,,,,1,22887.36893,,,,,744.8082143,51.93571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378,1,76,146,1,,,1,,,247.3214286,,,1019.0025,,,53.57821429,53.57821429,2,2,1344.769286,1344.769286,214.2857143,1128.519286,0,29,29,2,26,0,0,0,0,0,0,0
277,0,26,61,1,,,1,,,423.3692857,,,0,,,55.11642857,45.41535714,5,4,90.83071429,45.41535714,32.14285714,0,3.571428571,8,4,2,0,1,0,1,0,0,2.429642857,0
194,1,27,2,1,,,,,,239.0639286,,,,,,58.93071429,58.93071429,3,3,342.7071429,342.7071429,0,0,0,3,3,0,0,0,0,1,0,0,5.407142857,0
477,1,32,152,2,2,,,,,5419.34,7352.996786,,,,,59.03642857,59.03642857,2,2,90.25,90.25,0,0,90.25,2,2,0,0,2,1,0,1,22.09821429,0,4.214285714
946,1,48,154,1,1,1,,1,,9830.705357,1796.033571,1131.907857,,2.357142857,,60.20178571,0.031785714,7,1,2.357142857,0.928571429,0,0,0,4,2,0,0,0,0,1,0,0,0.644285714,0
1034,1,68,172,1,,,,,,158.7689286,,,,,,60.715,60.715,2,2,43.17857143,43.17857143,21.42857143,3.428571429,17.85714286,9,9,2,5,1,0,0,0,0,0,0
